id,timestamp,latitude,longitude,pm25,no2,so2,o3,co
220,2024-08-01 11:00,40.725413,-74.052293,17.1,,,,
2451,2024-08-01 11:00,40.64144,-74.208365,10.8,9.4,0.0,,0.3
4640,2024-08-01 11:00,40.85355,-73.96618,11.2,11.9,,,0.4
6848,2024-08-01 11:00,40.770908,-74.036218,11.1,,,,
9055,2024-08-01 11:00,40.816,-73.902,14.6,,,0.072,
11233,2024-08-01 11:00,40.81551,-73.88553,15.0,,,,
13441,2024-08-01 11:00,40.64182,-74.01871,13.2,,,,
15649,2024-08-01 11:00,40.69454,-73.92769,17.0,,,,
17856,2024-08-01 11:00,40.73614,-73.82153,20.9,,-0.1,0.061,0.299
20032,2024-08-01 11:00,40.739264,-73.817694,14.6,20.0,,,0.337
221,2024-08-01 12:00,40.725413,-74.052293,15.6,,,,
2452,2024-08-01 12:00,40.64144,-74.208365,13.0,9.2,0.0,,0.3
4641,2024-08-01 12:00,40.85355,-73.96618,17.6,12.6,,,0.4
6849,2024-08-01 12:00,40.770908,-74.036218,14.5,,,,
9056,2024-08-01 12:00,40.816,-73.902,15.8,,,0.073,
11234,2024-08-01 12:00,40.81551,-73.88553,16.1,,,,
13442,2024-08-01 12:00,40.64182,-74.01871,14.7,,,,
15650,2024-08-01 12:00,40.69454,-73.92769,18.0,,,,
17857,2024-08-01 12:00,40.73614,-73.82153,23.0,,-0.2,0.08,0.282
20033,2024-08-01 12:00,40.739264,-73.817694,16.1,11.2,,,0.299
222,2024-08-01 13:00,40.725413,-74.052293,12.8,,,,
2453,2024-08-01 13:00,40.64144,-74.208365,16.6,9.6,0.0,,0.3
4642,2024-08-01 13:00,40.85355,-73.96618,15.2,13.1,,,0.4
6850,2024-08-01 13:00,40.770908,-74.036218,11.8,,,,
9057,2024-08-01 13:00,40.816,-73.902,15.7,,,0.074,
11235,2024-08-01 13:00,40.81551,-73.88553,16.5,,,,
13443,2024-08-01 13:00,40.64182,-74.01871,11.6,,,,
15651,2024-08-01 13:00,40.69454,-73.92769,17.2,,,,
17858,2024-08-01 13:00,40.73614,-73.82153,20.9,5.5,-0.3,0.083,0.27
20034,2024-08-01 13:00,40.739264,-73.817694,14.1,9.5,,,0.293
223,2024-08-01 14:00,40.725413,-74.052293,8.1,,,,
2454,2024-08-01 14:00,40.64144,-74.208365,8.4,11.0,0.0,,0.3
4643,2024-08-01 14:00,40.85355,-73.96618,13.2,11.0,,,0.4
6851,2024-08-01 14:00,40.770908,-74.036218,12.3,,,,
9058,2024-08-01 14:00,40.816,-73.902,15.1,5.4,,0.066,
11236,2024-08-01 14:00,40.81551,-73.88553,14.8,,,,
13444,2024-08-01 14:00,40.64182,-74.01871,11.3,,,,
15652,2024-08-01 14:00,40.69454,-73.92769,13.0,,,,
17859,2024-08-01 14:00,40.73614,-73.82153,14.7,4.4,0.0,0.073,0.237
20035,2024-08-01 14:00,40.739264,-73.817694,10.0,6.6,,,0.234
224,2024-08-01 15:00,40.725413,-74.052293,9.5,,,,
2455,2024-08-01 15:00,40.64144,-74.208365,13.2,14.0,0.0,,0.4
4644,2024-08-01 15:00,40.85355,-73.96618,12.9,10.6,,,0.4
6852,2024-08-01 15:00,40.770908,-74.036218,14.1,,,,
9059,2024-08-01 15:00,40.816,-73.902,13.2,16.8,,0.07,
11237,2024-08-01 15:00,40.81551,-73.88553,14.3,,,,
13445,2024-08-01 15:00,40.64182,-74.01871,14.2,,,,
15653,2024-08-01 15:00,40.69454,-73.92769,14.8,,,,
17860,2024-08-01 15:00,40.73614,-73.82153,17.3,4.4,0.0,0.075,0.268
20036,2024-08-01 15:00,40.739264,-73.817694,11.6,6.5,,,0.258
